Date,Close,High,Low,Open,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
2016-01-11,435.061279296875,444.25942473496366,393.44056455486253,403.1539965978495,63940748
2016-01-18,433.6681213378906,443.53418105096773,426.3210486551585,435.06121196977966,38254064
2016-01-25,444.60284423828125,446.54933200850354,429.2026265934438,435.1947656604241,29571930
2016-02-01,448.3431701660156,456.0719090552994,439.96561751219093,446.5493580475067,26663364
2016-02-08,413.97412109375,447.38895829062983,407.2377054945876,444.16389856544174,30289144
2016-02-15,430.233154296875,432.8857153213905,409.7949139597041,418.4015040123746,22546614
2016-02-22,427.9049072265625,436.5305507585039,420.2524841815996,431.6643085533272,20029848
2016-02-29,446.7974853515625,455.2704551987941,407.7339644325078,431.09191404765295,31863112
2016-03-07,436.244384765625,454.37352586480887,434.412368713245,446.7974625340127,42363092
2016-03-14,455.48040771484375,457.6177289071475,430.88199558391034,437.38942229156885,31435414
2016-03-21,460.97637939453125,462.0831739209238,447.31271303936876,453.4193712378584,18569518
2016-03-28,460.0794677734375,472.1210541196466,454.77434526196504,470.3653990488645,47047432
2016-04-04,444.9272766113281,476.31931478527775,443.51513061218833,463.1709356694334,24152592
2016-04-11,447.5798034667969,456.07187393817753,439.3358252710268,444.9463447275263,24122202
2016-04-18,462.2930908203125,483.9144859752542,460.6710097998903,477.082653065338,43673876
2016-04-25,461.0906982421875,474.1627591096132,458.41903616709317,462.5983069386157,32898664
2016-05-02,450.93853759765625,462.6556692826032,446.7974693592365,461.81602242332974,25152290
2016-05-09,460.7664489746094,464.3541200199953,450.5950369933675,451.1293789090812,21288266
2016-05-16,458.6099853515625,467.82723116364934,457.19783939016827,461.89230455730933,20535716
2016-05-23,476.1283874511719,480.70837995571225,449.44992179420586,459.2969243150048,24245602
2016-05-30,483.53277587890625,488.2654446849321,472.8842827128727,473.83844793222875,32960204
2016-06-06,450.5949401855469,487.3875576114295,446.5874465638397,482.76940761300506,37784318
